(-0.7618158071170388, -2.4534957874826104)
(-0.7665660586808687, -1.5135576054409874)
(-0.7654211934707121, -1.7237998570285944)
(-0.760987273183451, -1.9389577567907372)
(-0.7703152082985187, -0.675191642308489)
(-0.7639608743321857, -1.6069729578930085)
(-0.760704607316971, -1.8867090493007819)
(-0.7632252834953575, -1.7147364080007848)
(-0.7625491247903482, -1.7436897148811983)
(-0.760906920480924, -1.6317190421782921)
(-0.7656148896104854, -0.8172413652910911)
(-0.7608321399009216, -1.6322296417303055)
(-0.7607589402940065, -1.6426151980070753)
(-0.7621287692085662, -0.9820833111938208)
(-0.7618328186926192, -1.0995978958144796)
(-0.7595334305949722, -1.477231133016755)
(-0.7631717086618126, -0.9696386993332466)
(-0.7641042536636131, -0.19578851799203667)
(-0.7586535308814072, -1.1943114405972635)
(-0.7626051127893436, -0.667359892289836)
(-0.7635722136917623, -0.6433923779693468)
(-0.7581942054634484, -1.0529291544637351)
(-0.7632790005066235, -0.6915262557075034)
(-0.763681649262207, -0.6496915589601872)
(-0.7583893741719534, -0.9803246810776627)
(-0.7619415431653225, -0.7948049476446689)
(-0.7621189943201487, -0.3613268986443643)
(-0.7605690361136523, -0.2050027857386214)
(-0.7603295471330735, -0.6786518699236335)
(-0.7651787727964474, 0.4971952097210255)
(-0.7604036980289488, -0.03818343458253056)
(-0.763611197845924, 0.25697209957763784)
(-0.7634300626004867, 0.24139062268537334)
(-0.7605313163181834, 0.04942506757925654)
(-0.7639430433146954, 0.3015657658585056)
(-0.7657439148151074, 1.140528909190279)
(-0.7613583236818424, 1.075924574016279)
(-0.764113476666026, 1.1121716864135647)
(-0.7638500688902905, 1.1125194335402449)
(-0.762005483913925, 1.2975127703717786)
(-0.7662227015935703, 2.0066442168558583)
(-0.7624722626553483, 1.214905267225856)
(-1.5514013303634342, 1.2667484215866138)
(-1.0902454591205164, 1.2430965908706053)
(-1.4921914630813098, 1.2385358726140139)
(-2.4013490038719545, 1.2572702219820144)
(-2.0971476058705143, 1.244641860955781)
(-1.5657195865743594, 1.240702577234618)
(-2.21591207011494, 1.2521458626049733)
(-1.8856183761457117, 1.8431466160534868)
(-1.8403213115132855, 1.8286003530674284)
(-2.13379298675687, 1.3959159436668642)
(-1.902903905283298, 1.8142261872051062)
(-1.8478006982752424, 1.8260271765589353)
(-2.0695636098611203, 1.4944345231514942)
(-1.949857438557821, 1.6648532585560631)
(-2.3190276770401037, 1.6910642544782355)
(-2.8512751543346484, 1.7110434742173384)
(-2.0338465236752192, 2.5715016462032243)
(-2.279982717070311, 1.810546393174583)
(-2.738304477195314, 1.7163930289924392)
(-2.473017719769893, 1.775617557664615)
(-2.4785441009882176, 1.7718919829450077)
(-2.6782951524425145, 1.7286898351540922)
(-2.488388460199389, 1.7727849451351079)
(-2.4797264344650403, 1.7719672990503372)
(-2.6343944693697177, 1.7384888958857854)
(-2.554759854566467, 2.356454338441509)
(-2.926945315968409, 2.345966740396296)
(-3.439475324839797, 2.0369155783989257)
(-2.6443209426109098, 2.875163275921856)
(-3.019880067886812, 2.93728825746975)
(-2.455494417373916, 2.2742082938786936)
(-2.8156409510781293, 2.62198066920993)
(-3.1773284452922015, 2.666732440944064)
(-3.3294123377654072, 2.545363604543658)
(-2.8963220409933887, 2.9122244944141142)
(-3.1499159429774397, 2.7512898845786236)
(-4.087891437946362, 2.5690959601612082)
(-4.198489791525144, 2.674044381430687)
(-4.126984589030219, 2.6730770463864015)
(-4.272950410506229, 2.593402445315721)
(-5.10248760936408, 2.639302849618568)
(-4.255826451395125, 1.7977414432731023)
(-4.997854514943287, 2.3754851200723626)
(-4.64635078920878, 2.105411970009287)
(-4.581750591433049, 2.052529604196605)
(-4.91762722238331, 2.311657418858999)
(-4.666235601941081, 2.120100827877236)
(-4.59166944839079, 2.0609396196338126)
(-4.84613899812223, 1.4776619552181103)
(-4.130887812452318, 1.7722220422209596)
(-4.073907829233408, 1.83384603772259)
(-4.8391549995845216, 1.5399959538153982)
(-5.103781619227296, 1.7574474034904768)
(-5.078157067440766, 1.8241992805713372)
(-4.895075910401199, 1.6122781359023797)
(-5.562597672685817, 1.7062606436579861)
(-5.975410892639781, 1.7385238464535382)
(-5.84009531674189, 1.6361699514594974)
(-5.590889907105373, 1.7036724945026265)
(-5.923938075279979, 1.7330109507387075)
(-5.866634091195624, 1.6609442667358594)
(-5.893225924704286, 1.6954241940789125)
(-5.8990808298815205, 1.7034662189192464)
(-5.87287679729778, 1.6690951746037628)
(-5.891888163339464, 1.6938137617525748)
(-5.898232672319208, 1.7021723236401267)
(-5.878978431170969, 1.6775100226756523)
(-5.888955387605017, 1.6895523423639882)
(-5.891158537771456, 2.044180616817156)
(-5.883095504877519, 2.477535041411828)
(-5.886638216656372, 1.7595590396096938)
(-5.8911218793785, 2.0096911607076726)
(-6.6516268179947176, 2.3701845087554294)
(-6.252388965485981, 2.1823204809854633)
(-5.815449169847311, 2.1629217924129365)
(-5.852656375652885, 2.333373523879609)
(-7.077112509623683, 2.1902014604913425)
(-5.158823493594186, 2.1719895252359334)
(-5.608972804167083, 1.5524022047760746)
(-5.431172442535056, 1.8268984657617253)
(-5.629602616286792, 1.9489477342851846)
(-6.404122925478846, 1.6101737936299392)
(-5.5253610567137095, 1.8139844032252765)
(-6.460517912359197, 1.9258289261274941)
(-6.44480765469125, 1.6946099312195342)
(-6.4405652654081305, 1.7982477972658368)
(-6.454316337349319, 2.1969397061484597)
(-6.446384432523088, 2.5433523885412574)
(-6.445752986662528, 1.8647570961529647)
(-7.29782546532225, 2.1460541121390433)
(-6.015676187619559, 2.44323999788616)
(-5.945856463754394, 2.325142238913935)
(-6.189769425575609, 1.9404274031256186)
